"","cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department","centrality_std","density_std"
"1",1,3.85,0.178947368421053,20,"motivasi belajar","motivasi belajar; game online; bermain; altruisme; experiential learning; kekerasan; layanan bimbingan klasikal; ketekunan belajar; mobile legends; waktu; pascapandemi; beasiswa; kemampuan pengelolaan emosi; pembelajaran daring; prososial; nonbeasiswa; penelitian tindakan; motivasi; pendapat siswa; judi online","motivasi belajar; game online; bermain; altruisme; experiential learning; kekerasan; layanan bimbingan klasikal; ketekunan belajar; mobile legends; waktu","BK",1.6294228227396,-1.79286171829224
"2",2,3.42857142857143,0.133333333333333,21,"resiliensi","resiliensi; pola asuh demokratis; self esteem; berpacaran; toxic relationship; pacaran; generasi z; pola asuh otoriter; kekerasan verbal; agresivitas; dewasa awal; kematangan karier; modul; relawan; sosial; bertanggung jawab; gaya kelekatan dewasa; hidup sehat; kepemimpinan heroik; overthinking; putus cinta","resiliensi; pola asuh demokratis; self esteem; berpacaran; toxic relationship; pacaran; generasi z; pola asuh otoriter; kekerasan verbal; agresivitas","BK",1.2666074724941,-1.92715221087808
"3",3,4.375,0.464285714285714,8,"fenomenologi","fenomenologi; bekerja; kebahagiaan; paruh waktu; manajemen waktu; pasangan pranikah; seksual; kejenuhan belajar","fenomenologi; bekerja; kebahagiaan; paruh waktu; manajemen waktu; pasangan pranikah; seksual; kejenuhan belajar","BK",2.08140465736747,-0.952808279781391
"4",4,4.34615384615385,0.138461538461538,26,"remaja","remaja; kepercayaan diri; harga diri; orang tua; dukungan sosial; fear of missing out; media sosial; perantau; teman sebaya; instagram; identitas diri; konsumtif; nonperantau; line; perceraian; regulasi; role player; produk online; smartphone; strategi coping; asertif; cyberbullying; emotional focused coping; komunikasi interpersonal; organisasi kemahasiswaan; prestasi belajar","remaja; kepercayaan diri; harga diri; orang tua; dukungan sosial; fear of missing out; media sosial; perantau; teman sebaya; instagram","BK",2.05657049062968,-1.91205446319092
"5",5,3.25,0.287878787878788,12,"studi kasus","studi kasus; panti asuhan; regulasi emosi; nonpanti asuhan; penari tradisional; penyakit menular seksual; pms; tari klasik; adaptasi sosial; bipolar; keunggualan pribadi; begadang","studi kasus; panti asuhan; regulasi emosi; nonpanti asuhan; penari tradisional; penyakit menular seksual; pms; tari klasik; adaptasi sosial; bipolar","BK",1.11287215459346,-1.4721609964876
"6",6,3.57142857142857,0.119047619047619,28,"studi deskriptif","studi deskriptif; penerimaan diri; kebermaknaan hidup sosial; pemaafan diri; rantau; self acceptance; self forgiveness; efikasi diri; kecerdasan emosional; kesejahteraan psikologis; layanan konseling individual; aktivis; amputasi; batak; body image; cerai gugat; diabetes; dunia kerja; janda; kecemasan; minat; resiliensi diri; pemilihan karier; anhedonia; body shaming; homoseksual; pendidikan karakter persaudaraan; prokrastinasi","studi deskriptif; penerimaan diri; kebermaknaan hidup sosial; pemaafan diri; rantau; self acceptance; self forgiveness; efikasi diri; kecerdasan emosional; kesejahteraan psikologis","BK",1.38959572681461,-1.96921022229233
"7",7,3.33333333333333,0.242424242424242,12,"jenis kelamin","jenis kelamin; pemimpin; pola asuh permisif; organisasi mahasiswa; profil sosial; wanita; anak usia dini; full day school; kematangan emosional; sosial emosi; pubertas; manajemen stres akademik","jenis kelamin; pemimpin; pola asuh permisif; organisasi mahasiswa; profil sosial; wanita; anak usia dini; full day school; kematangan emosional; sosial emosi","BK",1.18461530294709,-1.60598194189657
"8",8,1,1,2,"asal sekolah","asal sekolah; toleransi beragama","asal sekolah; toleransi beragama","BK",-0.82419285095457,0.624367148252819
"9",9,3.61538461538462,0.256410256410256,13,"asrama","asrama; indekos; keluarga; konsep diri; rumah; kesepian; penyesuaian diri; emotional quotient; kondisi keluarga asli; lingkungan sosial; perilaku konsumtif; memilih; kecemasan komunikasi interpersonal","asrama; indekos; keluarga; konsep diri; rumah; kesepian; penyesuaian diri; emotional quotient; kondisi keluarga asli; lingkungan sosial","BK",1.42743826660554,-1.56480626638612
"10",10,3,0.6,6,"bimbingan kelompok","bimbingan kelompok; kemandirian; komik; media; home room; membolos","bimbingan kelompok; kemandirian; komik; media; home room; membolos","BK",0.897642709532567,-0.553257171346057
